"","gene.list"
"1250","GRIK3"
"1251","MEAF6"
"1252","SNIP1"
"1253","GNL2"
"1254","RSPO1"
"1255","C1orf109"
"1256","EPHA10"
"1257","YRDC"
"1258","MTF1"
"1259","INPP5B"
"1260","SF3A3"
"1261","FHL3"
"1262","POU3F1"
"1263","RRAGC"
"1264","MYCBP"
"1265","RHBDL2"
"1266","PPIEL"
"1267","PABPC4"
"1268","SNORA55"
"1269","HEYL"
"1270","NT5C1A"
"1271","HPCAL4"
"1272","BMP8B"
"1273","TRIT1"
"1274","MYCL1"
"1275","PPT1"
"1276","COL9A2"
"1277","RIMS3"
"1278","CITED4"
"1279","SLFNL1"
"1280","SCMH1"
"1281","EDN2"
"1282","HIVEP3"
"1283","GUCA2A"
"1284","FOXJ3"
"1285","ZMYND12"
"1286","CLDN19"
"1287","LEPRE1"
"1288","CCDC23"
"1289","SLC2A1"
"1290","EBNA1BP2"
"1291","LOC100131756"
"1292","C1orf210"
"1293","ELOVL1"
"1294","MED8"
"1295","HYI"
"1296","SLC6A9"
"1297","ERI3"
"1298","TMEM53"
"1299","BEST4"
"1300","TCTEX1D4"
"1301","PTCH2"
"1302","EIF2B3"
"1303","HECTD3"
"1304","ZSWIM5"
"1305","MUTYH"
"1306","TESK2"
"1307","PRDX1"
"1308","CCDC17"
"1309","GPBP1L1"
"1310","IPP"
"1311","PIK3R3"
"1312","POMGNT1"
"1313","LRRC41"
"1314","KNCN"
"1315","MKNK1"
"1316","MOBKL2C"
"1317","ATPAF1"
"1318","KIAA0494"
"1319","CYP4Z2P"
"1320","CYP4A11"
"1321","PDZK1IP1"
"1322","TAL1"
"1323","STIL"
"1324","LOC388630"
"1325","SPATA6"
"1326","AGBL4"
"1327","BEND5"
"1328","DMRTA2"
"1329","FAF1"
"1330","TTC39A"
"1331","EPS15"
"1332","NRD1"
"1333","RAB3B"
"1334","TXNDC12"
"1335","KTI12"
"1336","CC2D1B"
"1337","ORC1"
"1338","ZCCHC11"
"1339","C1orf163"
"1340","ECHDC2"
"1341","SLC1A7"
"1342","MAGOH"
"1343","LRP8"
"1344","GLIS1"
"1345","TMEM48"
"1346","YIPF1"
"1347","HSPB11"
"1348","LDLRAD1"
"1349","TMEM59"
"1350","CDCP2"
"1351","CYB5RL"
"1352","SSBP3"
"1353","PARS2"
